episode_index,frame_index,replay_time_s,x_m,y_m,z_m,gripper_command_m,gripper_command_mm,gripper_source
3,24,0.4000000059604645,0.46799421256135054,0.02865547755056716,0.15074756135015574,0.05682005733251572,56.82005733251572,observation.state.box_gripper.distance_m
3,25,0.4166666567325592,0.46795661929006044,0.029215887485273977,0.1508661883338624,0.05586254596710205,55.86254596710205,observation.state.box_gripper.distance_m
3,26,0.4333333373069763,0.467941024330495,0.029719014144539806,0.15097328767740917,0.055030886083841324,55.030886083841324,observation.state.box_gripper.distance_m
3,27,0.44999998807907104,0.4679067814906022,0.030070703202429886,0.15106629926530973,0.054314933717250824,54.314933717250824,observation.state.box_gripper.distance_m
3,28,0.46666666865348816,0.4678480283398859,0.030176379137175524,0.1511385112610224,0.0536794550716877,53.6794550716877,observation.state.box_gripper.distance_m
3,29,0.4833333194255829,0.4675928592138162,0.03005569321025023,0.15115375982527504,0.0530877411365509,53.0877411365509,observation.state.box_gripper.distance_m
3,30,0.5,0.4676088306677595,0.02986054894036057,0.15124023558900015,0.05252619460225105,52.52619460225105,observation.state.box_gripper.distance_m
3,31,0.5166666507720947,0.4677096218273966,0.029740088009565055,0.15135179100485668,0.05201010778546333,52.01010778546333,observation.state.box_gripper.distance_m
3,32,0.5333333611488342,0.46761690021748104,0.029648849791069944,0.1513862005195239,0.051471590995788574,51.471590995788574,observation.state.box_gripper.distance_m
3,33,0.550000011920929,0.46750474797755265,0.02971400323273585,0.151398019925911,0.050930093973875046,50.930093973875046,observation.state.box_gripper.distance_m
3,34,0.5666666626930237,0.46749011926632267,0.029766542405430457,0.1514380162630749,0.05039556697010994,50.39556697010994,observation.state.box_gripper.distance_m
3,35,0.5833333134651184,0.4674846157032607,0.029817210933286594,0.15149041113005507,0.04990309849381447,49.90309849381447,observation.state.box_gripper.distance_m
3,36,0.6000000238418579,0.467379038317709,0.029825496017565185,0.15151350309983933,0.049708448350429535,49.708448350429535,observation.state.box_gripper.distance_m
3,37,0.6166666746139526,0.4672912906179013,0.029814124317357884,0.15153616738704084,0.049708448350429535,49.708448350429535,observation.state.box_gripper.distance_m
3,38,0.6333333253860474,0.46712616880400687,0.029785935101531356,0.15154887913661896,0.049708448350429535,49.708448350429535,observation.state.box_gripper.distance_m
3,39,0.6499999761581421,0.46694999595805686,0.029735648913457566,0.15155711931064483,0.049708448350429535,49.708448350429535,observation.state.box_gripper.distance_m
3,40,0.6666666865348816,0.46683184878195144,0.029685280726540326,0.1515793199651286,0.049708448350429535,49.708448350429535,observation.state.box_gripper.distance_m
3,41,0.6833333373069763,0.4668646959119885,0.029672595239286382,0.15165136417018824,0.049708448350429535,49.708448350429535,observation.state.box_gripper.distance_m
3,42,0.699999988079071,0.4669434826421337,0.029690183682736772,0.1517330416317237,0.049708448350429535,49.708448350429535,observation.state.box_gripper.distance_m
