episode[sid]                                                                                n     w<0  flip  min|w|  |w|<.05   dRaw  dHemi  yawWrap
thor_gmsl2_11ch_v1_20260615_063124/episode_000002[box_imu]                               1996    7.3%     0   0.000      684  0.017  1.999        0
thor_gmsl2_11ch_v1_20260615_063124/episode_000003[box_imu]                               2009   12.4%     0   0.000     1382  0.009  1.999        0
thor_gmsl2_11ch_v1_20260615_070850/episode_000000[box_imu]                               2002    0.0%     0   0.007     2002  0.000  0.000        0
thor_gmsl2_11ch_v1_20260615_071908/episode_000000[box_imu]                               1991    0.0%     0   0.040       32  0.031  0.031        0
thor_gmsl2_11ch_v1_20260615_071908/episode_000001[box_imu]                               1988    0.0%     0   0.091        0  0.036  0.036        0
thor_gmsl2_11ch_v1_20260615_071908/episode_000002[box_imu]                               1997    0.0%     0   0.096        0  0.029  0.029        0
thor_gmsl2_11ch_v1_20260615_071908/episode_000003[box_imu]                               1992   67.9%     0   0.000      766  0.014  2.001        0
thor_gmsl2_11ch_v1_20260615_075958/episode_000000[box_imu]                               1459   91.0%     0   0.000       93  0.015  2.000        2
thor_gmsl2_11ch_v1_20260616_062609/episode_000000[box_imu]                               1991  100.0%     0   0.051        0  0.000  0.000        0
thor_gmsl2_11ch_v1_20260616_062609/episode_000001[box_imu]                               1980  100.0%     0   0.051        0  0.000  0.000        0
thor_gmsl2_11ch_v1_20260616_080218/episode_000000[box_imu]                                424    0.0%     0   0.192        0  0.000  0.000        0
thor_gmsl2_11ch_v1_20260616_080218/episode_000001[box_imu]                               1835    0.0%     0   0.001      350  0.009  0.009        0
thor_gmsl2_11ch_v1_20260616_080218/episode_000002[box_imu]                               1232    0.0%     0   0.036      188  0.031  0.031        0
thor_gmsl2_11ch_v1_20260616_080218/episode_000003[box_imu]                               1051    0.0%     0   0.030      357  0.012  0.012        0
thor_gmsl2_11ch_v1_20260616_080218/episode_000004[box_imu]                               1348    0.0%     0   0.078        0  0.009  0.009        0
thor_gmsl2_11ch_v1_20260616_080218/episode_000005[box_imu]                               1985    0.0%     0   0.092        0  0.013  0.013        0
thor_gmsl2_11ch_v1_20260616_080218/episode_000006[box_imu]                               1807    0.0%     0   0.116        0  0.011  0.011        0
thor_gmsl2_11ch_v1_20260618_065430/episode_000000[box_imu]                               2000   91.0%     0   0.000      253  0.007  1.998        0
thor_gmsl2_11ch_v1_20260625_073552/episode_000000[box_imu]                                 54    0.0%     0   0.190        0  0.000  0.000        0
thor_gmsl2_11ch_v1_20260625_073552/episode_000001[box_imu]                                 44    0.0%     0   0.190        0  0.000  0.000        0
thor_gmsl2_11ch_v1_20260625_081125/episode_000000[box1672693301/box_imu]                   56    0.0%     0   0.190        0  0.000  0.000        0
